,Model,Hafiza,Ekran_Boyutu,Garanti,Kamera_Cozunurluk,Baglanti_Hizi,Pil_Gucu,RAM,Fiyat
248,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
249,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
250,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
251,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
252,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
253,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
254,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
255,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,0.0
256,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
257,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
258,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
259,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
260,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
261,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
262,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
263,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
264,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
265,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
266,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
267,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
268,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
269,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
270,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
271,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
272,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
273,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
274,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
275,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
276,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
277,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,0.0
278,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,0.0
279,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
280,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
281,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
282,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
283,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
284,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
285,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
286,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
287,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
288,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
289,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
290,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
291,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
292,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
293,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
294,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
295,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
296,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
297,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
298,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
299,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
300,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
301,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
302,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
303,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
304,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
305,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
306,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
307,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
308,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,0.0
309,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
310,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
311,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
312,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
313,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
314,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
315,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
316,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
317,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
318,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
319,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
320,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
321,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
322,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
323,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,0.0
324,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
325,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
326,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
327,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
328,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
329,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
330,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
331,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
332,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
333,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
334,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
335,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,0.0
336,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
337,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
338,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
339,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,0.0
340,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
341,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
342,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
343,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
344,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
345,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
346,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
347,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
